"","Acer_rubrum","Anemone_quinquefolia","Apocynum_androsaemifolium","Aralia_nudicaulis","Aronia_melanocarpa","Aster_macrophyllus","Betula_papyrifera","Carex_spp","Comptonia_peregrina","Coptis_trifolia","Cornus_canadensis","Corylus_americana","Cypripedium_acaule","Diervilla_lonicera","Epigaea_repens","Euthamia_graminifolia","Fragaria_virginiana","Galium_triflorum","Gaultheria_procumbens","Gaylussacia_baccata","Hieracium_aurantiacum","Ilex_verticillata","Krigia_biflora","Lycopodium_clavatum","Lysimachia_quadrifolia","Maianthemum_canadense","Maianthemum_racemosum","Melampyrum_lineare","Mitchella_repens","Osmunda_cinnamomea","Osmunda_claytoniana","Phalaris_arundinacea","Pinus_banksiana","Pinus_resinosa","Pinus_strobus","Poa_spp","Populus_grandidentata","Populus_tremuloides","Potentilla_simplex","Prunus_serotina","Prunus_virginiana","Pyrola_rotundifolia","Quercus_alba","Quercus_ellipsoidalis","Rhamnus_frangula","Rosa_spp","Rubus_spp","Smilax_tamnoides","Spiraea_alba","Toxicodendron_rydbergii","Trientalis_borealis","Uvularia_sessilifolia","Vaccinium_angustifolium","Viburnum_acerifolium","Viola_spp"
"s3293",34,0,3,1,7,1,1,40,1,0,1,0,1,2,0,0,0,0,22,41,0,8,0,0,20,8,0,0,0,3,0,0,1,0,0,2,2,0,1,19,0,0,0,16,0,0,46,0,1,0,14,4,43,0,0
"s3294",40,0,1,1,10,1,0,10,0,0,8,0,4,0,1,0,0,0,16,33,0,4,0,11,5,14,2,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,1,14,0,0,35,0,0,0,14,0,41,1,0
"s3295",41,0,2,0,3,0,0,30,0,2,5,0,0,0,0,0,0,0,9,12,0,1,0,0,0,25,0,0,2,2,1,0,0,0,45,0,1,0,0,3,0,0,5,26,0,0,0,0,0,0,25,4,39,0,0
"s3296",28,0,1,0,1,1,0,46,3,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,4,0,1,0,0,0,0,0,0,19,6,1,0,3,1,0,0,1,50,0,1,1,0,0,0,21,1,15,0,0
"s3297",3,0,0,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,6,0,10,0,0,0,0,2,3,21,15,0,0,0,2,0,0,1,43,0,0,0,0,0,0,0,0,24,0,1
"s3299",31,0,1,0,5,0,0,12,0,0,1,0,2,0,0,0,0,0,4,32,0,4,0,0,0,36,0,0,1,2,0,0,0,0,9,0,0,0,0,1,0,0,0,8,0,0,25,0,0,0,26,1,20,0,0
"s3300",38,2,2,2,13,1,0,36,0,0,0,1,0,2,1,0,0,0,7,14,0,7,0,0,13,4,0,0,0,1,0,0,0,0,1,0,1,0,0,9,0,0,2,40,0,1,31,0,1,0,5,10,35,0,1
"s3301",44,0,0,0,7,0,0,48,0,0,0,0,0,0,4,0,0,0,7,24,0,3,0,0,2,7,0,1,0,1,0,0,0,0,12,1,1,0,0,0,0,0,1,50,0,0,14,0,0,0,12,3,40,0,0
"s3302",34,0,0,0,8,0,0,10,0,1,2,0,0,0,2,0,0,0,38,36,0,6,0,4,0,4,2,1,20,10,3,0,0,0,26,0,0,0,0,2,0,0,19,21,0,0,11,0,0,0,21,5,24,0,0
"s3303",45,0,9,0,2,0,0,21,3,0,4,0,0,0,1,0,2,0,5,17,0,6,0,4,0,12,6,2,35,6,0,0,0,0,4,0,2,0,0,2,0,0,18,26,0,3,46,0,0,0,31,6,25,0,1
"s3304",28,0,12,0,6,6,1,48,10,0,0,0,0,0,0,0,0,0,5,18,1,0,7,0,13,18,0,6,0,0,0,0,2,1,1,3,2,0,4,11,0,0,1,30,0,7,50,0,0,0,1,8,42,0,1
"s3307",23,13,14,1,0,1,0,38,0,0,0,0,0,2,0,0,0,0,6,17,1,4,1,1,0,28,2,1,14,0,0,0,0,0,14,7,1,0,1,0,0,0,10,43,7,1,6,0,0,0,0,1,44,0,0
"s3308",38,0,5,5,0,2,1,28,0,0,0,0,2,0,0,0,0,0,25,32,0,5,0,1,1,10,0,5,3,2,0,0,0,0,16,0,0,0,0,0,0,0,15,7,0,1,11,0,0,0,17,0,33,0,0
"s3309",29,0,0,0,0,0,0,41,0,0,0,0,3,0,0,0,0,0,14,46,0,3,0,0,0,18,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,20,1,0,4,0,0,0,12,0,31,0,0
"s3311",35,1,7,14,0,6,0,32,0,0,2,2,0,7,0,0,0,1,0,31,0,6,0,0,2,42,1,0,50,0,0,0,0,0,1,0,0,0,2,2,0,0,15,22,47,1,38,0,0,0,10,1,31,3,0
"s3312",36,1,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,10,12,7,0,14,0,0,0,0,0,23,0,0,0,0,3,1,1,16,19,33,4,11,0,0,0,2,3,36,1,0
"s3313",15,0,0,2,5,0,0,30,0,0,0,1,0,0,0,0,1,20,0,0,0,8,0,0,1,32,5,0,14,0,0,0,0,0,0,1,0,0,0,7,2,0,1,6,24,1,24,1,0,9,1,6,5,2,0
"s3315",36,4,1,4,14,1,0,31,0,10,21,6,1,0,0,0,0,1,5,30,0,11,0,0,0,35,9,0,38,4,1,3,0,0,34,0,0,4,0,7,0,1,0,26,4,0,44,1,0,0,20,0,35,0,1
"s3316",42,0,0,8,5,1,1,26,0,0,1,0,0,1,0,0,0,0,3,7,0,2,0,0,1,2,2,0,1,5,3,0,2,0,2,0,0,0,1,9,0,0,17,0,0,1,9,0,0,0,18,1,22,2,0
"s3317",43,0,2,0,20,0,1,13,2,0,4,0,2,0,0,2,0,0,41,41,0,5,0,0,3,22,0,5,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,20,0,0,49,0,10,0,30,3,42,0,0
"s3318",21,0,6,0,1,0,0,43,0,0,0,12,0,2,0,0,4,0,5,0,2,2,0,1,30,13,0,0,11,0,0,0,0,0,22,0,0,0,0,22,1,0,0,28,2,5,44,0,0,0,3,0,40,0,0
"s3320",26,0,0,0,6,2,0,27,2,0,2,0,0,0,2,1,1,0,7,43,0,5,0,0,6,2,0,0,8,4,0,1,0,0,17,0,0,0,1,10,0,0,0,5,2,0,43,0,0,0,7,0,46,0,0
"s3322",32,3,0,5,8,0,0,34,0,7,20,0,1,0,0,0,0,0,7,30,0,16,0,1,3,27,0,0,1,7,0,4,0,0,25,0,0,0,0,4,0,0,0,23,1,0,35,0,1,0,26,1,39,0,1
"s3323",41,1,0,6,4,5,1,32,0,17,23,9,6,2,1,0,0,0,2,8,0,8,0,0,2,47,1,0,23,30,1,0,0,0,24,0,0,0,0,3,0,2,0,11,32,1,48,0,0,0,12,1,27,0,6
"s3325",41,0,1,1,4,0,0,36,0,0,8,0,1,0,0,0,0,0,10,23,0,10,0,0,1,21,3,0,22,2,0,0,1,0,30,0,0,1,0,20,0,0,0,14,1,0,24,0,0,0,10,9,39,0,0
"s3326",29,0,0,0,5,0,0,44,0,0,22,0,0,0,0,0,1,0,20,41,0,1,0,0,6,40,0,0,1,5,0,1,0,0,18,4,0,0,0,0,0,0,9,28,0,0,48,0,2,0,22,0,39,0,0
"s3328",27,4,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,6,11,0,7,0,0,0,8,0,0,43,2,0,0,0,0,25,0,0,0,1,0,0,0,1,6,0,0,22,0,0,1,2,0,12,0,0
"s3329",39,0,1,1,3,0,2,19,0,0,11,0,0,0,3,0,0,0,7,20,0,4,0,3,4,16,6,0,2,1,0,0,0,0,12,3,0,0,0,1,0,0,1,17,0,0,34,0,0,0,20,8,43,0,0
"s3330",11,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,2,25,0,2,1,0,1,25,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,4,38,0,0,6,0,0,0,0,0,19,0,1
"s3332",28,15,1,2,13,5,0,48,0,0,3,10,0,1,0,1,1,0,7,4,0,10,0,0,0,14,1,0,2,18,0,0,0,0,2,5,0,8,3,24,0,3,10,10,0,0,25,15,0,3,15,9,10,5,0
